image_name,Captions,Label
in 639.jpg,কলকাতার প্রথম তিন মেয়র ও তৃণমূলের তিন মেয়র সবাই প্রেসিডেন্সি ফেরত... আমি তো আগেই বলেছিলাম পিসির দল ট্যালেন্টে ভরপুর প্রথম তিনজন প্রেসিডেন্সি কলেজ থেকে পাশ আউট আর তৃণমূলের তিনজন প্রেসিডেন্সি জেল ফেরত,political aggression
fb 780.jpg,"গোসলে গিয়ে পানি ঢালার পর টেংকিতে যখন পানি শেষ হয়ে যায় আমার লাভ-লস নাই, আমার লাইফটাই লস",non-aggressive
KAM (52).jpg,"মামা ভাল্লাগসে এফবি থেকে পাওয়া ছবি মাননীয় রেল মন্ত্রী জনাব মুজিবুল হক ও তার স্ত্রী এইটা কি আমাগো ভাবি,নাকি চাচী,নাকি নানী হইবো",political aggression
blog 495.jpg,"হায় খোদা! তার যুক্তি নিখুঁত! আগে কখনও এইভাবে ভাইবা দেখি নাই, তয় তার কথা ঠিক। আমার দাবির কুনো ভিত্তিই তো নাই! কথাটা কীভাবে কইলে সবচে' ভালো হয়... শালা, তুই তর মায়ের *** দিয়া হইছোস! তর বাপের ঠিক নাই...",religious aggression
bangla-memes (39).jpg,আমার মনে হয় এখন একজন পুরুষ প্রধানমন্ত্রীর প্রয়োজন খালেদা জিয়া এবং শেখ হাসিনা:,political aggression
Bangla Thug Life (406).jpg,"আমাকে তুমি দুধ দাও ! আমি তোমাকে আমার ঘি দেবো, তারাতারি তোমার ঘি বার করো",gendered aggression
fb 1263.jpg,বাংলাদেশ আওয়ামী লীগ আবু ত্বাহা মোহাম্মদ আদনান ৪ দিন যাবৎ বাংলাদেশ আওয়ামী লীগ নিখোজ পরিমনীর সাজানো ধর্ষণ নাটক,political aggression
ovodro_img (52).jpg,দাদু আমি মহানায়ক আমারও ভয় হয় আমার ফিরিয়ে দেওয়া নাইট উপাধিটা তোকে না দিয়ে দেয় ।,others
fb 897.jpg,প্রসঙ্গ যখন সত্যিকারের সুপারহিরোর বীর মুক্তিযোদ্ধারাই অন্যতম,non-aggressive
in 272.jpg,একটা কবিতা বলতো ম্যাম আমি বলছি... কবিতার নাম 'ভাইপো' কয়লা খেলি গরু খেলি খেলি নদীর বালি ! নিজে খেলি বউকে দিলি বাদ গেল না শালী। দুষ্টু,political aggression
bamboo-vaiya (191).jpg,রাকিব আর সাকিব খেলছো কিন্তু টাকা দিলা না কেন ?,gendered aggression
blog 314.jpg,শিশুদের নিরাপত্তা নিশ্চিত করুন ধর্মযাজকদের জন্য আলাদা টয়লেট,religious aggression
in 147.jpg,বাংলার খবর সব ভালো তো? আাপনি বেনারসে বসে বাংলার হাল আর কি বুঝবেন! দুয়ারে সিবিআই পুকুরে মোবাইল পাছিলে বিধায়ক তিহারে উন্নয়ন,political aggression
in 508.jpg,পার্থ-অর্পিতাকে ১৪ দিনের জেল হেফাজতের নির্দেশ ব্যাঙ্কশাল কোটের কিছু বুঝলেন লালমোহন বাবু? না... ১৪ দিন পর বোঝা যাবে আজ দিল্লিতে কী বৈঠক হল!,political aggression
nurani-memes (128).jpg,মাম্মাহ ইদের চাঁদ উঠছে,non-aggressive
fb 1928.jpg,[মাগুর মাছের কান্না] [মাগুর মাছের কান্না],others
pin 9.jpg,আজকাল মেয়েদের বয়ফ্রেন্ডরাই সব লুটে নেয় / হাসবেন্ড পায় খালি চিৎকার আর অভিনয়,gendered aggression
ovodro_img (321).jpg,ওওওওওওও... কলঙ্কিনী রাধাআআআআ... এই তো পেয়ে গেছি সিঙ্গার... এবার আমার ছেলে গুলোও গান শুনবে,others
ovodro_img (523).jpg,বল্টুর বাবার চোখে বল্টুর মা যেদিন বল্টু রাতে বাড়ি থাকে যেদিন বল্টু মামাবাড়িতে রাত কাটায়,gendered aggression
fb 1234.jpg,এক বাসার গেটে কালিমা তায়্যিবা লেখা সেই বাসায় আবার লাইটিং করা এবং গান বাজতেছে,religious aggression
chosha (9).jpg,আমায় ছেড়ে যাবেনা তো ? না খেয়ে আমি কাউকে ছাড়ি না,gendered aggression
fb 18.jpg,মুসলমানী করলে তো একটু পেইন হবেই,others
fb 1440.jpg,দেখুন বাবরি মসজিদ ভাঙা ভুল হয়েছে। আর মসজিদের তলায় যে রামমন্দিরই ছিলো; এর কোনো শক্তিশালী নৃতাত্ত্বিক প্রমাণ পাওয়া যায়নি। অতএব; ভাঙা মসজিদের জায়গায় মন্দির তৈরী হবে আর মুসলামরা অন্য জায়গায় নিজেদের মসজিদ বানাবে। এই কে বললো রে সুপ্রিমকোর্ট চাড্ডি? কে বললো কথাটা?,political aggression
Halal Memes (60).jpg,লকডাউন লকডাউন শেষে,non-aggressive
fb 342.jpg,দুধ বড় করলেই মাগি হওয়া যায় না মাগি হতে হলে ছিদ্র বড় করতে হয়,gendered aggression
blog 98.jpg,"চেকমেট ! ধ্যাৎ... দাবা হইলো শয়তানের খেলা যে ব্যাক্তি দাবা খেললো, সে যেনো হাতে শুকরের মাংস ও রক্ত নিয়ে মারা গেলো [ সহিহ মুসলিন ২৮ : ৫৬১২ ]",religious aggression
ovodro_img (664).jpg,"এরা ডাক্তার ? অনেক নাটক করেছে , বললেন মমতা নিউজপোল ডেস্ক : তারই অপেক্ষায় হাপিত্যেশ করে বসেছিলেন । আমরা ডাক্তার কোন নেতামন্ত্রী বা অভিনেতা অভিনেত্রী নই যে নাটক করব",political aggression
ovodro_img (258).jpg,"""ধোকা স্বভাব হ্যায় মেরা "" বলতে বলতে যখন সিনেমা হল ভর্তি অডিয়েন্স দের ধোকা দিয়ে দাও",others
fb 1042.jpg,২০৪৮ সালে আমেরিকার প্রেসিডেন্ট ছয়ে তালেবান ধ্বংস করবো তালেবান ঃ এইবারের মতো ক্ষমা করে দিলে হয়না স্যার?,others
in 631.jpg,রাজনীতি করি না বুঝিও না... তবে দিদিকে ভালো লাগে! কি বুঝলেন মিত্তির মশাই? শীঘ্রই রাজ্যসভা সিট খালি হতে চলেছে...,political aggression
tangaila (87).jpg,যখন ভুলক্রমে নিজেই নিজের পোস্ট করা ৩-৪ বছর আগের পোস্ট / স্ট্যাটাস দেখে ফেলি *বর্তমানের আমি* *৩-৪ বছর আগের আমি*,non-aggressive
blog 134.jpg,"মানে ব্লো জব দেয়? তো বটেই কারণ আমরা, মুছলিমরা, জানি, ব্লো মানে বিস্ফোরণ ।",religious aggression
blog 321.jpg,ওইটা কী? গুনাহ।,religious aggression
tangaila (184).jpg,ও করেছে টা কি ? নেইমারকে মেসি/ রন থেকে সেরা বলেছে ! তাইলে ও এ পৃথিবীতে কি করতেছে ? ওর গলা কাটা চাই !,others
blog 368.jpg,"মুছলিম-সমালোচনা কি বর্ণবাদিতা? ভুল কথা! মুছলিম বলে কোনও বর্ণ নেই, আছে বর্ণবৈচিত্র্যময় ইছলামী সন্ত্রাসীরা",religious aggression
in 185.jpg,দিদি ওদিকের খবর কী? তুই চাপ নিস না; কয়লা; বালি; গরু; চাপা দিয়ে দিয়েছি,political aggression
bangla-troll (67).jpg,"বাংলাদেশি আম্মুদের রিয়েকশ্যান যখন তারা জানতে পারে যে ভাইবার, হোয়াটসঅ্যাপ, ট্যাংগো, লাইন, সব বন্ধ ফেইসবুকের ও সম্ভাবনা আছে !!",non-aggressive
blog 252.jpg,নেক্সট অ্যাটাক কারে করুম? হিন্দু খ্রিষ্টান এইসব বাদ দিয়া একসাথে মিলামিশা থাকলে কেমুন হয়?,religious aggression
fb 2077.jpg,"ফরাসী দ্বীপপুঞ্জ, এন্ডোরা, লাতভিয়া ও হাঙ্গেরির বিরুদ্ধে জার্মান, স্পেন, ফ্রান্স ও ব্রাজিলের বিরুদ্ধে",others
fb 1158.jpg,"বিবর্তন সত্য মানুষ বানর থেকে তৈরী, মুমিনদের নবী এই করছে ঐ করছে খগেন রেফারেন্স মুমিন লে খগেন মগাচিপের! চংচয় দত কম",religious aggression
blog 130.jpg,এক খাছ মুছলিমের কাহিনী এখানে শরিয়া আইন প্রয়োগ করা হয় কাফেরস্তান সেক্যুলার দেশ অবশেষে... আশ্রয়স্থল কর্মসংস্থান এক বছর পর... আমরা এই দেশে শরিয়া আাইন চাই,religious aggression
fb 1916.jpg,লু পোস্ত এভাবে কি দেখেন ভাই? ক্রাশ বলেছে 'তাকে পেতে হলে রান্না শিখতে হবে' তাই রান্না শিখছি,gendered aggression
fb 1900.jpg,"এটা তুমি আগে বলবানা, যে তুমিই সে যে ফেসবুকে পিরিয়ড নিয়ে বড় বড় রচনা লিখতা",gendered aggression
blog 83.jpg,"আল্যা সব পয়গম্বরকে সমান চোখে দেখে । (সুরা আন নিসা, ৪:১৫২) আল্যা সব পয়গম্বরকে সমান চোখে দেখে না । (সুরা বনী ইসরাঈল, ১৭:৫৫)",religious aggression
blog 138.jpg,কেউ নবীর ছবি আঁকলে আমরা তারে হত্যা করবো! আপনি সহিংসতা উসকে দিচ্ছেন কেন? বাক-স্বাধীনতা,religious aggression
ovodro_img (545).jpg,ফনী আসার আগে ফনী যাবার পর,gendered aggression
fb 605.jpg,সারা বছর দূর্নীতি দূর্নীতি বলে চেঁচিয়ে জনগণ যখন নির্বাচনের সময় ৫০০ টাকার বিনিময়ে নিজের ভোট বিক্রি করে দেয় তখন! জনগণ :- সচোদন নাগরিক!,political aggression
ovodro_img (483).jpg,পাশের বাড়ীর মেয়েটাকে একদম ডিস্টার্ভ করবি না কেন বাবা? কারন ও তোর বোনের মতো । সত্যি করে বলোতো বাবা আর কোন কোন ঘরে আমার এরম বোন রয়েছে ! ওরে হারামজাদা ছেলে বাবার ক্যারেক্টার নিয়ে প্রশ্ন তুলিস । আজ ক্যালিয়ে তোর সিঙ্গা ভেঙে দেব ওয়াড়া,non-aggressive
in 25.jpg,আমার পরীক্ষার খাতা,non-aggressive
nurani-memes (171).jpg,এডুকেশন এজুকেশন এজুখেইশান,non-aggressive
in 53.jpg,১৯৭১ সালের ১৪ ডিসেম্বর বংলাদেশকে মেধাশূন্য করার চেস্টার সত্তেও যখন বংলাদেশের শিক্ষার হার পাকিস্তানের শিক্ষার হার থেকে বেশি হয় পাকিস্তানি & রাজাকার :,others
Halal Memes (268).jpg,"আবেগের ঠেলায় যখন অনলাইন ক্লাস করতে যায় এবং গিয়ে দেখতে পারি সেই স্যার, যার দুমাসের বেতন মেরে দিয়েছিলাম* *লে আমি *লে স্যার",non-aggressive
blog 322.jpg,একখান কামের কাম করসে টাইম ম্যাগাজিন। পোপের মাথায় ডেভিলের শিং বসাইয়া দিসে ।,religious aggression
blog 45.jpg,কোরানের নির্দেশনা অনুসরণ করে অস্ত্রের মাধ্যমে জিহাদ করলে আল্যাফাক আপনাকে পারলৌকিক প্লেবয় হবার তৌফিক দান করবে,religious aggression
ovodro_img (154).jpg,দেশপ্রিয় পার্কে প্যান্ডেলে ঢোকার আগে প্যান্ডেল থেকে বেরনোর পরে,non-aggressive
fb 1703.jpg,"আম্মা, রাইতে হজুর বিছানায় ডাকে ছিঃ বাজান তুমি হাদিসের কেলাসে পড়ো নাই, এক মুসলমান আরেক মুসলমানের দোষ ত্রুটি গোপন রাখতে অয়",religious aggression
tangaila (195).jpg,ইঞ্জিনিয়ারিং করার জন্য যখন নিউ এডমিশন নেই যখন ইঞ্জিনিয়ারিং শেষ করে বের হই,non-aggressive
in 210.jpg,আমি চাই একদিন মোহনবাগান ব্রাজিল আর ইতালিকে হারিয়ে বিশ্ব চ্যাম্পিয়ন হোক!,political aggression
blog 143.jpg,"আম্মু, এমন কখনও হয় বা হওয়া সম্ভব যে, আল্যা তাঁর চিন্তা-ভাবনা ও মত বদল করেন? না, আল্যা অতিশয় জ্ঞানী ও বিচক্ষণ এবং প্রত্যেকের জন্যেই তাঁর আলাদা আলাদা পরিকল্পনা আছে । এর মানে কি এই নয় যে, দোয়া-মোনাজাত-প্রার্থনা একেবারেই অর্থহীন? (ছেলেটা বলে কী! এ তো, দেখি, নাস্তিক হয়ে গেছে! )",religious aggression
fb 1582.jpg,"ওই দেখা যায় ওদুটোর চিন্তা, ওখানেতেই মুক্তচিন্তা। খেতে পারলে ভিটামিন হবে না শরির পুষ্টিহীন। রাতের রানী",gendered aggression
fb 135.jpg,৭.৫% ভ্যাট নিয়া সবাই আন্দোলন করছে... কি করা যায় এখন? ধামাচাপা দেন ১.৫% কমান ভ্যাট বাদ দেন ধুরুশালা তাইলে খমুকি!,political aggression
KAM (169).png,ছয় দিন ধরে অবরোধ করতেছেন আর কতো?? এবার একটু থামেন !! আপনি তো ছয় বছর ধরে রাজত্ব করতেছেন এইবার আপনে একটু থামেন !,political aggression
fb 256.jpg,বন্ধুদের সাথে ইফতার পার্টি করতেছি* মাখাতে জিলাপি দিস না!,non-aggressive
blog 473.jpg,"আমি একজন মডারেট মুছলিম। আমি ঘৃণা, সহিংসতা ও বৈষম্যের বিরুদ্ধে। তবে আমার জীবনে আছে পথনির্দেশক এক কিতাব, যাতে ঘৃণা, সহিংসতা ও বৈষম্যের কথা আছে পদে পদে।",religious aggression
in 248.jpg,দাদা একটা ফুটেজপ্রেমী দেখান.... সস্তার কিছু নেই?,political aggression
Halal Memes (134).jpg,"সারারাত জেগে দিনের বেলা ঘুমানো বিদ্যমান জনৈক মুরব্বি চাচা: মনে হয় গাঁজা খাইছে, গাঁজা খাইলে এইরকম হয়",non-aggressive
blog 96.jpg,"আমি একজন মডারেট মুছলিম । আমি ঘৃণা, সহিংসতা বৈষম্যের বিরুদ্ধে । তবে আমার জীবনে আছে পথনির্দেশক এক কিতাব, যাতে ঘৃণা, সহিংসতা ও বৈষম্যের কথা আছে পদে পদে ।",religious aggression
fb 89.jpg,"ব্লগার হওয়ার রেসিপি ফেসবুকে ল্যাদানো বড় বড় ইভেন্ট খোলা নাস্তিকতা, নারী, বিশ্ব ইত্যাদি নিয়ে আলোচনা ব্লগিং করা উপস!",others
fb 160.jpg,বাংলাদেশে যেকোন মেগা প্রজেক্ট উদ্ভোদন হওয়া বিদ্যমান প্রেগন্যান্ট মহিলা:,gendered aggression
pin 3.jpg,টেনিস বল দিয়েছিলাম হারামজাদা বাস্কেটবল বানিয়ে ফেলেছে,gendered aggression
tangaila (316).jpg,এই কন-কনে শীতের সকালে যাদের প্রাইভেট আছে তাদের জন্য এক কম্বল সমবেদনা,non-aggressive
fb 1376.jpg,"ফেসবুকে একটা বাঙালি মুসলিম মেয়ে যুক্তি দিয়ে কথা বলছিলো| রিপ্লাইতে ""কাগজ খুঁজে রাখ বাংলাদেশী রেন্ডী"" লিখে দিয়েছি",religious aggression
blog 59.jpg,"কাফেরদের দেশের পতাকায় আগুন-ধরানো ঈমান্দার মমিনের প্রতি আল্যার এ কী অবিচার ! হে আল্যা, তুমি কার দলে?",religious aggression
ovodro_img (742).jpg,এখনকার দিনে ফুলসজ্জার রাতে বরের অবস্থা ভাই আমাকে কেউ টেনে তোল আমি ডুবে যাচ্ছি,gendered aggression
bamboo-vaiya (425).jpg,*খেলার সময় ধন ও বলের মুখোমুখি সংঘর্ষ বিদ্যমান* লে দর্শকমন্ডলিঃ,non-aggressive
in 472.jpg,"আজ যুদ্ধ বিরতি! মীনাদেবীকে দেখতে এসে ফিরহাদ বললেন, 'সব চিকিৎসার দায়িত্ব পুরনিগমের' কী কিউট না!?",political aggression
Halal Memes (298).jpg,পাড়ার বখাটে গাঞ্জাখোর ছেলেকে দেখার পর *এলাকার সুন্দরী জানি সব ধ্বংস হয়ে যাবে তাও একটা শেষ চেষ্টা করব ওকে আমার ভালবাসা দিয়ে ঠিক করে নিবো,gendered aggression
blog 97.jpg,"আরও কতো মানুষকে হত্যা করলে কাফেররা বিশ্বাস করবে যে, ইছলাম শান্তির ধর্ম?",religious aggression
fb 219.jpg,ছেরা টাকা দিয়ে বিস্কুট কিনে আনা আমি মেয়াদ উত্তীর্ণ বিস্কুট দেয়া দোকানদার,non-aggressive
ovodro_img (804).jpg,ক্লাসে বারবার পাদার জন্য চিৎকার করা আমার টিচার প্যান্টের মধ্যে হেগে বসে থাকা আমি ।,non-aggressive
Bangla Thug Life (163).jpg,ক্রাশ যখন তার জিএফ এর সাথে কাপল পিক দেয় ফাইট্টা যায়... বুকটা ফাইট্টা যায়,non-aggressive
fb 1446.jpg,"সুইডেনে কোরআন পুড়িয়ে কট্ররপন্থিদের বিক্ষভ অনলাইন ডেস্ক । ২২ জানুয়ারি, ২০২৩ ১২:৩৯",religious aggression
fb 1107.jpg,*আগে বলবা না তুমি গাঞ্জা খাও*,gendered aggression
KAM (346).jpg,বৃষ্টি পড়ে টাপুর টুপুর পায়ে আমার নতুন জুতু কিন্তু রাস্তা দিয়া হাঁইটা গেলে জুতা কাদায় ভইরা যায়,non-aggressive
in 506.jpg,"বৃহস্পতিতে দিল্ল রওনা, শুক্র বিকেলেই মোদীর সঙ্গে একান্ত বৈঠকে বসছেন মমতা দাদা, আমি আর আমার ভাইপো দুজনেই বাঁচাতে চাই...",political aggression
fb 109.jpg,বাংলাদেশী অনলাইন নিউজপেপার ব্রেকিং! স্বর্ণপদক পেলেন বাংলাদেশী বিজ্ঞানী সোনা মুখে সানি লিওন,others
blog 317.jpg,"-ইয়া মাবূদ, তোমার গলা না শোনা পর্যন্ত আমি এই জায়গা ছেড়ে উঠবো না ।",religious aggression
fb 1443.jpg,আইজকালকার হোলাইন যা বেয়াদব হুজুর এর লগেও মশকারি করে!,religious aggression
Bangla Thug Life (236).jpg,জান তোমার মনটা খুব নরম হাত সরা মাদারচোদ অইটা মন না,gendered aggression
bamboo-vaiya (114).jpg,বাংলাদেশ টেলিভিশন - বিটিভি জাস্ট ফ্রেন্ডের প্রস্তাব পেয়ে এক কোপেই অমিত হাসানের পৃথিবী দুই ভাগ করে দিলেন ওমর সানীর আপন স্ত্রী ।,others
fb 1370.jpg,কংগ্রেস এবং বিজেপি শাসনের মধ্যে তফাৎ কী? ১৯৮৪ ২০০২ বিজেপি শাসনে দাঙ্গাগুলোর রঙিন ছবি পাওয়া যায়,political aggression
blog 128.jpg,ঈশ্বর তোমার পেট বাধাইসে - কথাটা পাবলিকে না খাইলে তোমারে পাথর ছুঁইড়া মাইরা ফালাইতো ।,religious aggression
fb 417.jpg,মেয়েদের ন্যাকামি মেয়েদের উচ্চতা/বয়স,gendered aggression
tangaila (329).jpg,"টাংগাইলের মেয়েরে নক দিয়ে রিপ্লাই না পাওয়ার পর লে ফাকবয় : আমি যারে নক দেই , তার-ই ভাব বেড়ে যায় !",gendered aggression
KAM (51).jpg,এতো কষ্ট কেন ভালবাসা? ভালবাসতে কইছে কেডা?,non-aggressive
fb 1530.jpg,নাস্তিক যখন জনতে পারে যে ইসলামের বিরুদ্ধে লিখে পশ্চিমের ভিসা পাওয়া যায়....,religious aggression
in 230.jpg,আসন্ন পঞ্চায়েত নির্বাচনে নিজেদের সংগঠনকে শক্তিশালী করতে নয়া কর্মসূচি লক্ষ্য পঞ্চায়েত ভোট; বুথ মজবুত করার কর্মসূচি শুরু সুকান্তর *পশ্চিমবঙ্গবাসী *বিজেপি,political aggression
KAM (59).png,"আজ আমার এক বান্ধবী আসছে, রাতে থাকবে, তুমি আজ ডাইনিং রুমে শোবে। ঠিক আছে, কিন্ত একটা শর্ত!! আমার বান্ধবী আসলে তুমিও ডাইনিং রুমে শোবে, কেমন?",non-aggressive
Halal Memes (146).jpg,"নীচের ঠোটে কামড় দিয়ে """" উচ্চারণ করা যায় না, এটা জানার পর মেয়েরা",gendered aggression
fb 305.jpg,আজকাল ট্রিট মানে ছেলেরা চুদা দেয় -মেয়েরা চুদা নেয়়,gendered aggression
tangaila (346).jpg,উদ্যানের পিছনে প্রস্রাবের জায়গায় যাওয়া বিদ্যমান - ভাই... গন্ধে থাহোন যাইতাসে না !,non-aggressive
fb 168.jpg,কিরে আমার হোগা দেখবি?,gendered aggression
fb 452.jpg,কবি বলেছেন ডিস্টার্ব না করলে মেয়েরা প্রেমে পরে না...,gendered aggression
Halal Memes (342).jpg,ডিপ্রেশনে থাাকার কারণে যখন আমার আচরণ অন্যরকম হয়ে যায় আমার বন্ধুরা: অভিনয়টা বাদ দেন,non-aggressive
ovodro_img (772).jpg,এখানে টিপে ধরলি কেন ? ফুটবল ভেবেছিলুম কিন্তু ফুটবল তো হাত দেওয়া যায় না চল তাহলে মধ্যের পা রাখি ...,gendered aggression
KAM (481).jpg,সংবাদ- সোনারগা'র মতো ফাইভ স্টার হোটেল পছন্দ হচ্ছে না ভারতীয় প্লেয়ারদের। সবার পেটে কি ঘি সয় হয়রে পাগলা!,others
tangaila (152).jpg,বিন্দুবাসিনীর কোনো সুন্দরী মেয়ে যখন বলে আমি সিঙ্গেল লে আমি :- প্রমাণ দাও !,gendered aggression
